순위,정류장ID,정류장명,승차소계,승차,시계외 승차,환승 승차,하차소계,하차,시계외 하차,총 이용인원
1,4374891,시외버스터미널,"6,170","5,247",0,923,"2,719","2,719",0,"8,890"
2,4376371,지하상가,"4,005","3,301",0,704,"1,144","1,144",0,"5,148"
3,4379021,도청,"2,719","1,466",0,"1,253","1,971","1,971",0,"4,692"
4,4377911,서운동,"2,640","1,429",0,"1,211","1,536","1,536",0,"4,178"
5,4376711,도청,"2,435","1,495",0,940,"1,319","1,319",0,"3,755"
6,4372501,상당공원,"1,901",994,0,907,"1,781","1,781",0,"3,682"
7,4361111,청주대학교,"2,834","2,524",0,310,828,828,0,"3,663"
8,4391231,사창사거리,"2,455","1,947",0,508,"1,207","1,207",0,"3,662"
9,4357571,청주체육관,"2,473","1,252",0,"1,221","1,101","1,101",0,"3,574"
10,4358401,육거리,"2,210","1,303",0,907,"1,097","1,097",0,"3,309"
11,4377731,지하상가,"2,097","1,447",0,650,"1,097","1,097",0,"3,194"
12,4374651,고속.시외터미널,"1,875","1,374",0,501,"1,310","1,310",0,"3,185"
13,4378991,상당공원,"1,950","1,115",0,835,"1,028","1,028",0,"2,979"
14,4377361,용두사지철당간,"2,050","1,438",0,612,794,794,0,"2,844"
15,4377781,육거리,"2,106","1,266",0,840,684,684,0,"2,789"
16,4370491,청주대교,"1,946","1,545",0,401,743,743,0,"2,688"
17,4377451,문화산업단지,"1,686","1,213",0,473,918,918,0,"2,605"
18,4377771,육거리시장,"1,193",843,0,350,"1,211","1,211",0,"2,404"
19,4377671,충북대학교입구,"1,465",827,0,638,939,939,0,"2,403"
20,4361821,청주대학교,"1,313",894,0,419,801,801,0,"2,114"
21,4377721,청주고등학교,"1,335","1,057",0,278,765,765,0,"2,100"
22,4361121,석교동,"1,714","1,008",0,706,326,326,0,"2,043"
23,4378861,육거리,"1,080",759,0,321,913,913,0,"1,994"
24,4361991,문화산업단지,"1,371",651,0,720,530,530,0,"1,902"
25,4391121,사창사거리,"1,046",474,0,572,836,836,0,"1,882"
26,4363381,청주고등학교,"1,412",944,0,468,439,439,0,"1,852"
27,4377941,산업단지입구,"1,166",895,0,271,623,623,0,"1,788"
28,4377841,신한은행,"1,399","1,097",0,302,358,358,0,"1,757"
29,4371220,조치원역,"1,395",0,"1,395",0,357,0,357,"1,753"
30,4363011,청주대교,"1,447","1,213",0,234,304,304,0,"1,751"
31,4378981,시청,"1,338",948,1,389,384,384,0,"1,722"
32,4359631,충북대중문,"1,399",849,0,550,318,318,0,"1,717"
33,4376581,사직사거리,908,734,0,174,712,712,0,"1,620"
34,4375551,고속버스터미널,"1,126",778,0,348,316,316,0,"1,442"
35,4361961,시청,984,811,0,173,426,426,0,"1,410"
36,4376571,사직사거리,"1,028",788,0,240,368,368,0,"1,396"
37,4363491,산업단지입구,907,561,0,346,444,444,0,"1,351"
38,4377951,분평주공2단지,"1,254","1,225",0,29,61,61,0,"1,315"
39,4378931,우암초등학교,960,899,0,61,310,310,0,"1,270"
40,4377741,"중앙여고,사창시장","1,000",933,0,67,261,261,0,"1,262"
41,4374251,청주성모병원,"1,072","1,004",0,68,168,168,0,"1,240"
42,4377881,수곡우체국,"1,002",831,0,171,174,174,0,"1,176"
43,4378941,효성아파트,"1,097","1,068",0,29,67,67,0,"1,163"
44,4378801,현대3차아파트,"1,067","1,019",0,48,79,79,0,"1,146"
45,4368581,월곡리.충청대학,"1,082","1,073",0,9,31,31,0,"1,113"
46,4374041,오송역,687,624,1,62,418,418,0,"1,105"
47,4377961,분평뜨란채1단지,"1,004",958,0,46,97,97,0,"1,101"
48,4377411,신한은행,669,422,0,247,422,422,0,"1,091"
49,4363401,"중앙여고,사창시장",780,723,0,57,304,304,0,"1,084"
50,4377871,시계탑,837,787,0,50,244,244,0,"1,082"
