업종명,업소명,소재지(도로명),소재지(지번),소재지전화,업태명
일반음식점,여자만궁중칼국수,충청북도 청주시 상당구 가덕면 미천고은로 114,충청북도 청주시 상당구 가덕면 국전리 226 ,043 -292 -4566,한식
일반음식점,청남대화련가든1,"충청북도 청주시 상당구 가덕면 미천고은로 90-12, 1층",충청북도 청주시 상당구 가덕면 국전리 233-1 1층 ,043 -298 -4500,한식
일반음식점,청남대화련가든,,충청북도 청주시 상당구 가덕면 국전리 233-1 2층 ,043 -298 -4500,한식
일반음식점,광동성,충청북도 청주시 상당구 가덕면 단재로 1625,충청북도 청주시 상당구 가덕면 금거리 161-1 , 043- 298-3995,한식
일반음식점,퇴근길호프,충청북도 청주시 상당구 가덕면 단재로 1458,충청북도 청주시 상당구 가덕면 병암리 118-5 , 043- 254-8583,패스트푸드
일반음식점,가덕반점,충청북도 청주시 상당구 가덕면 병암3길 11-2,충청북도 청주시 상당구 가덕면 병암리 137-9 , 043- 254-5271,중국식
일반음식점,남가네 설악추어탕(가덕점),"충청북도 청주시 상당구 가덕면 단재로 1484, 주3동 1층",충청북도 청주시 상당구 가덕면 병암리 159-1 주3동 ,,한식
일반음식점,늘찬굴림만두,"충청북도 청주시 상당구 가덕면 단재로 1410, 1층",충청북도 청주시 상당구 가덕면 병암리 238-5 ,043 -292 -1555,한식
일반음식점,강촌곤드레,"충청북도 청주시 상당구 가덕면 단재로 1414, 1층","충청북도 청주시 상당구 가덕면 병암리 238-9 외1필지(238-2)(주2,주4) ",043 -287 -7724,한식
일반음식점,너나드리,충청북도 청주시 상당구 가덕면 단재로 1396,"충청북도 청주시 상당구 가덕면 병암리 268-2 268-2,5 ",043 -292 -2223,한식
일반음식점,신대박부속구이,"충청북도 청주시 상당구 가덕면 단재로 1388, 1층",충청북도 청주시 상당구 가덕면 병암리 271-2 ,,식육(숯불구이)
일반음식점,(주)김동주의복어찬가본점,충청북도 청주시 상당구 가덕면 원병암1길 2-1,"충청북도 청주시 상당구 가덕면 병암리 44-8 , 43-5 ",043 -284 -9255,한식
일반음식점,흥부네부뚜막,충청북도 청주시 상당구 가덕면 단재로 1434-6,충청북도 청주시 상당구 가덕면 병암리 95-2 ,043 -283 -6080,한식
일반음식점,삼항식당,"충청북도 청주시 상당구 가덕면 상장인차로 151-4, 1층",충청북도 청주시 상당구 가덕면 삼항리 233-1 ,,한식
일반음식점,자연흑염소전문집,"충청북도 청주시 상당구 가덕면 국전삼항길 142-2, B동",충청북도 청주시 상당구 가덕면 삼항리 490-2 B동 ,043 -275 -1116,식육(숯불구이)
일반음식점,주은가든,충청북도 청주시 상당구 가덕면 상장인차로 52,충청북도 청주시 상당구 가덕면 삼항리 89 , 043- 294-2034,한식
일반음식점,대장간이야기,"충청북도 청주시 상당구 가덕면 고은두산로 203, 1층",충청북도 청주시 상당구 가덕면 상대리 302 1층 ,,기타
일반음식점,우남가든,충청북도 청주시 상당구 가덕면 은행상야로 389,충청북도 청주시 상당구 가덕면 상야리 20-1 , 043- 286-4813,한식
일반음식점,두부마을,충청북도 청주시 상당구 가덕면 은행상야로 442,충청북도 청주시 상당구 가덕면 상야리 34-1 , 043- 297-6995,한식
일반음식점,닭마을,"충청북도 청주시 상당구 가덕면 가덕시동길 10, 1층",충청북도 청주시 상당구 가덕면 시동리 175-3 1층 ,043 -283 -9080,한식
일반음식점,새터밥집,"충청북도 청주시 상당구 가덕면 인차시동로 65, 1층",충청북도 청주시 상당구 가덕면 인차리 172-4 1층 ,043 -288 -0545,한식
일반음식점,대성식당,충청북도 청주시 상당구 가덕면 보청대로 4641,충청북도 청주시 상당구 가덕면 인차리 215-10 ,043 -285 -3033,한식
일반음식점,아구랑돈이랑,충청북도 청주시 상당구 가덕면 상장인차로 570,충청북도 청주시 상당구 가덕면 인차리 325-1 ,,한식
일반음식점,대청불고기,충청북도 청주시 상당구 가덕면 보청대로 4657,충청북도 청주시 상당구 가덕면 인차리 327-16 ,043 -297 -5937,한식
일반음식점,육백만두,충청북도 청주시 상당구 가덕면 상장인차로 565-1,충청북도 청주시 상당구 가덕면 인차리 327-18 ,043 -298 -5932,한식
일반음식점,경아두마리치킨가덕점,"충청북도 청주시 상당구 가덕면 보청대로 4660, 1층",충청북도 청주시 상당구 가덕면 인차리 329-4 1층 ,043 -296 -7788,호프/통닭
일반음식점,대일반점,충청북도 청주시 상당구 가덕면 보청대로 4661-1,충청북도 청주시 상당구 가덕면 인차리 331-5 , 043- 292-8845,중국식
